RegionID,M0,M4,M9,M14,M19,M24,M29,M34,M39,M44,M49,M54,M59,M64,M69,M74,M79,M80plus,F0,F4,F9,F14,F19,F24,F29,F34,F39,F44,F49,F54,F59,F64,F69,F74,F79,F80plus
1,8167,29013,30271,33002,38213,43826,44976,41919,34541,27612,30819,33425,27618,21891,11194,18467,10805,8466,-7327,-26046,-26300,-31174,-45546,-59972,-59091,-47475,-36717,-29541,-33655,-36736,-31591,-27968,-15041,-25998,-16276,-14271
2,1188,4056,4525,5296,6515,7289,5787,4671,3932,4175,5418,4689,2751,1685,972,1823,1154,2127,-952,-3353,-3598,-4343,-6291,-7422,-5600,-4499,-3899,-4188,-5248,-4660,-3072,-2081,-1279,-2739,-1690,-1686
3,2037,7300,7901,9307,12150,14118,12542,9270,6816,6919,9480,9953,6580,3647,1754,3616,2321,1778,-1880,-6453,-6587,-8162,-11732,-14225,-12828,-9575,-7611,-8033,-10614,-10480,-7051,-4220,-2362,-5214,-3508,-3021
4,2197,7663,8260,10004,12313,13975,12193,9704,7573,7627,9953,10111,6546,3739,2041,3425,2128,1360,1818,6415,6656,8541,11955,13780,12823,10273,8237,8459,10948,10593,7112,4372,2614,5245,3219,2846
5,1934,6935,7824,9680,11408,12833,11055,8740,7106,7566,8839,7999,5186,3231,1733,3248,1939,1512,1478,5639,6307,8291,10970,12127,10669,8356,7123,7320,8722,8338,5690,3975,2087,4412,2581,2704
6,1909,6752,7757,7778,10177,11441,9772,7564,5763,6057,8358,8703,5956,4001,2344,4188,2624,1601,1735,6002,7356,8292,14149,19059,15759,9332,5535,4304,5829,5927,4088,3433,2261,5901,4301,2986
7,2056,7789,7748,8088,10329,13235,13047,9741,7129,6552,9054,10091,6710,4128,1983,3600,1979,1117,1865,6795,6782,7050,10247,13819,13424,9801,7675,7776,10656,11038,7680,4877,2432,4810,2557,2065
8,2035,7635,7864,9288,12602,13197,10103,7598,6692,7440,9471,8857,6006,3900,2258,3639,2095,971,1766,6417,6636,8123,14066,17487,13006,8489,7271,7239,8270,8268,6466,4746,2756,5672,3345,2528
9,921,3505,4206,4974,5950,7257,5968,5153,4425,4232,5111,5277,3769,2526,1456,2388,1643,1277,777,3197,3720,4606,6516,9031,6868,5031,4178,3671,4533,5037,3920,2801,1566,3172,1826,2007
10,351,1440,1731,1855,2358,3028,2435,1717,1261,1390,1934,2097,1292,700,295,852,625,571,331,1235,1436,1605,2295,2957,2229,1681,1378,1567,2098,2140,1460,956,391,1255,767,833
11,908,3337,4057,4599,5433,6261,5696,4758,3751,3482,4395,4440,3120,2108,1066,2207,1842,1460,766,3130,3634,4176,5145,6102,5355,4637,3755,3635,4650,5023,3697,2745,1533,3307,2279,2433
