Region,Latitude,Longitude,Male,Female
Yerevan,40.179817468963435,44.5123016201717,494225,570725
Aragatsotn,40.35980138676567,44.327808896774606,66745,66600
Ararat,39.9194209139259,44.726230163084594,127489,133556
Armavir,40.154146385487046,44.05505255181542,130812,135906
Gegharkunik,40.156594043663944,45.26291936984402,118768,116789
Lori,40.8934367373305,44.57085597075898,112745,126249
Kotayk,40.39158030248456,44.661260846543534,124376,131349
Shirak,40.792796351450875,43.891740582040335,121651,132551
Syunik,39.18472665210402,46.30059171824112,70038,72457
VayotsDzor,39.77483409572691,45.454139560974944,25932,26614
Tavush,40.87782917499509,45.12639225851925,62920,66002
